# ============================================================
# 台灣加權股價報酬指數（發行量加權股價報酬指數）歷史資料
# ============================================================
#
# 【概念說明】
# 台灣有兩個主要指數：
#   1. 加權指數（Price Index，^TWII）：只反映股價漲跌，不含股利
#   2. 加權報酬指數（Total Return Index，本檔案）：股價漲跌 + 股利自動再投入
#
# 差異範例（2024年）：
#   加權指數 2023年底→2024年底：17,930 → 23,395，漲幅 +30.5%（不含息）
#   報酬指數 2023年底→2024年底：38,641 → 50,903，漲幅 +31.7%（含息）
#   差距 ≈ +1.2%，即 2024 年股利貢獻約 1.2%
#
# 【為何用報酬指數而非加權指數？】
# 投資人實際持有 ETF（如 0050）時，配息可以再投入繼續複利滾動。
# 報酬指數才是真實的「持有並再投入」的長期報酬。
# 用加權指數（不含息）計算滾動報酬，會低估實際年化報酬約 2~3%。
#
# 【資料來源】
# 台灣證券交易所（TWSE）官方 API
# URL: https://www.twse.com.tw/rwd/zh/TAIEX/MFI94U?response=json&date=YYYYMMDD
# 抓取時間：2026-05-31
# 資料範圍：2003-01-02 ~ 2026-05-29（每個交易日收盤值）
#
# 【欄位說明】
# date              : 日期（YYYY-MM-DD，西元）
# tr_index          : 發行量加權股價報酬指數收盤值
# year_end_flag     : Y = 該年最後一個交易日（用於計算年化報酬）
# annual_return_pct : 相對前一年最後交易日的報酬率（%），含股利再投入
# ============================================================
date,tr_index,year_end_flag,annual_return_pct
2003-01-02,4524.92,,
2003-01-03,4626.36,,
2003-01-06,4690.26,,
2003-01-07,4701.48,,
2003-01-08,4837.35,,
2003-01-09,4814.24,,
2003-01-10,4851.31,,
2003-01-13,4991.79,,
2003-01-14,4992.95,,
2003-01-15,5018.23,,
2003-01-16,4943.81,,
2003-01-17,4908.30,,
2003-01-20,4951.56,,
2003-01-21,4946.39,,
2003-01-22,4993.80,,
2003-01-23,5079.34,,
2003-01-24,5057.86,,
2003-01-27,4973.12,,
2003-01-28,5015.69,,
2003-02-06,4834.09,,
2003-02-07,4735.87,,
2003-02-10,4644.36,,
2003-02-11,4619.47,,
2003-02-12,4625.36,,
2003-02-13,4508.43,,
2003-02-14,4494.46,,
2003-02-17,4705.58,,
2003-02-18,4605.80,,
2003-02-19,4551.32,,
2003-02-20,4551.19,,
2003-02-21,4548.83,,
2003-02-24,4609.69,,
2003-02-25,4454.82,,
2003-02-26,4457.16,,
2003-02-27,4432.93,,
2003-03-03,4527.17,,
2003-03-04,4500.17,,
2003-03-05,4418.58,,
2003-03-06,4397.91,,
2003-03-07,4351.05,,
2003-03-10,4320.45,,
2003-03-11,4260.90,,
2003-03-12,4328.61,,
2003-03-13,4379.45,,
2003-03-14,4476.64,,
2003-03-17,4358.45,,
2003-03-18,4540.20,,
2003-03-19,4515.55,,
2003-03-20,4599.74,,
2003-03-21,4587.41,,
2003-03-24,4571.16,,
2003-03-25,4499.30,,
2003-03-26,4496.53,,
2003-03-27,4514.72,,
2003-03-28,4477.49,,
2003-03-31,4321.68,,
2003-04-01,4338.07,,
2003-04-02,4312.02,,
2003-04-03,4358.86,,
2003-04-04,4499.65,,
2003-04-07,4576.31,,
2003-04-08,4552.93,,
2003-04-09,4537.87,,
2003-04-10,4541.84,,
2003-04-11,4530.88,,
2003-04-14,4460.29,,
2003-04-15,4488.07,,
2003-04-16,4609.81,,
2003-04-17,4567.58,,
2003-04-18,4659.24,,
2003-04-21,4649.06,,
2003-04-22,4557.02,,
